sgRNA	Gene	T0_rep1	T0_rep2	T12_rep1	T12_rep2
ACD_TSS1_-64_g2	ACD	194	364	186	219
ACD_TSS1_+36_g3	ACD	442	310	346	333
ACD_TSS1_+163_g4	ACD	360	307	212	281
ACD_TSS1_+420_g5	ACD	288	462	346	220
ACHE_TSS1_-232_g1	ACHE	595	522	529	349
ACHE_TSS1_-82_g2	ACHE	539	422	400	810
ACHE_TSS1_+37_g3	ACHE	810	671	694	513
ACHE_TSS1_+131_g4	ACHE	578	415	432	717
ACHE_TSS1_+419_g5	ACHE	681	709	560	748
ACIN1_TSS1_-235_g1	ACIN1	502	467	372	404
ACIN1_TSS1_-78_g2	ACIN1	417	350	232	209
ACIN1_TSS1_+44_g3	ACIN1	353	285	299	272
ACIN1_TSS1_+133_g4	ACIN1	488	700	238	222
ACIN1_TSS1_+433_g5	ACIN1	307	530	366	416
ACLY_TSS1_-267_g1	ACLY	176	129	246	135
ACLY_TSS1_-76_g2	ACLY	210	232	208	160
ACLY_TSS1_+11_g3	ACLY	244	242	135	147
ACLY_TSS1_+161_g4	ACLY	238	214	115	119
ACLY_TSS1_+428_g5	ACLY	218	192	154	218
ACO2_TSS1_-246_g1	ACO2	863	1174	582	490
ACO2_TSS1_-73_g2	ACO2	928	912	775	627
ACO2_TSS1_+37_g3	ACO2	686	596	868	922
ACO2_TSS1_+137_g4	ACO2	1198	1365	699	1269
ACO2_TSS1_+422_g5	ACO2	591	803	517	731
ACP1_TSS1_-262_g1	ACP1	519	835	608	621
ACP1_TSS1_-87_g2	ACP1	536	434	412	411
ACP1_TSS1_+19_g3	ACP1	466	460	604	375
ACP1_TSS1_+163_g4	ACP1	463	563	323	437
ACP1_TSS1_+426_g5	ACP1	329	307	373	412
ACRC_TSS1_-230_g1	ACRC	212	342	238	290
ACRC_TSS1_-86_g2	ACRC	294	180	164	250
ACRC_TSS1_+44_g3	ACRC	346	454	248	425
ACRC_TSS1_+166_g4	ACRC	273	458	409	520
ACRC_TSS1_+428_g5	ACRC	412	481	378	540
ACSL6_TSS1_-231_g1	ACSL6	271	211	260	213
ACSL6_TSS1_-89_g2	ACSL6	260	234	240	316
ACSL6_TSS1_+8_g3	ACSL6	228	194	270	201
ACSL6_TSS1_+148_g4	ACSL6	336	382	281	332
ACSL6_TSS1_+431_g5	ACSL6	207	198	161	236
ACSS2_TSS1_-257_g1	ACSS2	699	528	395	409
ACSS2_TSS1_-89_g2	ACSS2	483	347	433	690
ACSS2_TSS1_+33_g3	ACSS2	407	549	756	460
ACSS2_TSS1_+137_g4	ACSS2	467	490	544	553
ACSS2_TSS1_+440_g5	ACSS2	307	265	298	512
ACTL6A_TSS1_-268_g1	ACTL6A	361	370	295	432
ACTL6A_TSS1_-88_g2	ACTL6A	275	233	288	234
ACTL6A_TSS1_+45_g3	ACTL6A	413	528	282	454
ACTL6A_TSS1_+145_g4	ACTL6A	263	364	242	265
ACTL6A_TSS1_+435_g5	ACTL6A	397	287	306	271
ACTL6B_TSS1_-231_g1	ACTL6B	433	503	375	461
ACTL6B_TSS1_-77_g2	ACTL6B	395	390	349	326
ACTL6B_TSS1_+43_g3	ACTL6B	471	303	389	418
ACTL6B_TSS1_+148_g4	ACTL6B	337	354	280	499
ACTL6B_TSS1_+412_g5	ACTL6B	253	364	209	188
ACTL7A_TSS1_-241_g1	ACTL7A	747	550	794	788
ACTL7A_TSS1_-63_g2	ACTL7A	579	684	345	493
ACTL7A_TSS1_+24_g3	ACTL7A	768	866	761	638
ACTL7A_TSS1_+161_g4	ACTL7A	479	609	755	716
ACTL7A_TSS1_+411_g5	ACTL7A	925	804	935	914
ACTN1_TSS1_-231_g1	ACTN1	346	241	211	282
ACTN1_TSS1_-63_g2	ACTN1	387	364	470	435
ACTN1_TSS1_+24_g3	ACTN1	144	332	304	233
ACTN1_TSS1_+133_g4	ACTN1	245	393	285	246
ACTN1_TSS1_+412_g5	ACTN1	225	381	321	242
ACTN4_TSS1_-241_g1	ACTN4	164	216	214	181
ACTN4_TSS1_-64_g2	ACTN4	215	144	270	170
ACTN4_TSS1_+34_g3	ACTN4	303	181	291	198
ACTN4_TSS1_+147_g4	ACTN4	219	269	160	249
ACTN4_TSS1_+436_g5	ACTN4	256	225	194	240
ACTR1A_TSS1_-234_g1	ACTR1A	446	328	520	405
ACTR1A_TSS1_-84_g2	ACTR1A	552	454	740	743
ACTR1A_TSS1_+31_g3	ACTR1A	614	434	835	463
ACTR1A_TSS1_+141_g4	ACTR1A	823	625	603	584
ACTR1A_TSS1_+411_g5	ACTR1A	444	865	1058	1322
ACTR3_TSS1_-258_g1	ACTR3	218	285	208	144
ACTR3_TSS1_-88_g2	ACTR3	142	137	144	147
ACTR3_TSS1_+23_g3	ACTR3	177	125	227	142
ACTR3_TSS1_+169_g4	ACTR3	227	193	170	126
ACTR3_TSS1_+432_g5	ACTR3	173	283	207	158
ACTR5_TSS1_-230_g1	ACTR5	373	244	397	384
ACTR5_TSS1_-71_g2	ACTR5	359	342	267	287
ACTR5_TSS1_+32_g3	ACTR5	203	320	327	356
ACTR5_TSS1_+159_g4	ACTR5	332	304	497	235
ACTR5_TSS1_+424_g5	ACTR5	377	410	383	191
ACTR8_TSS1_-244_g1	ACTR8	541	891	925	495
ACTR8_TSS1_-80_g2	ACTR8	1192	1285	1112	786
ACTR8_TSS1_+14_g3	ACTR8	785	1054	912	489
ACTR8_TSS1_+146_g4	ACTR8	1022	953	432	410
ACTR8_TSS1_+411_g5	ACTR8	1031	734	495	432
ACTRT3_TSS1_-243_g1	ACTRT3	560	468	392	528
ACTRT3_TSS1_-91_g2	ACTRT3	803	964	606	870
ACTRT3_TSS1_+35_g3	ACTRT3	737	580	451	448
ACTRT3_TSS1_+170_g4	ACTRT3	575	549	542	841
ACTRT3_TSS1_+437_g5	ACTRT3	582	466	431	542
ACVR1_TSS1_-232_g1	ACVR1	529	645	430	392
ACVR1_TSS1_-68_g2	ACVR1	526	524	477	564
ACVR1_TSS1_+38_g3	ACVR1	806	858	507	777
ACVR1_TSS1_+158_g4	ACVR1	651	445	433	472
ACVR1_TSS1_+411_g5	ACVR1	458	434	551	549
ACVR1B_TSS1_-235_g1	ACVR1B	799	511	779	675
ACVR1B_TSS1_-75_g2	ACVR1B	686	625	1025	911
ACVR1B_TSS1_+9_g3	ACVR1B	784	868	541	658
ACVR1B_TSS1_+159_g4	ACVR1B	882	600	1454	750
ACVR1B_TSS1_+429_g5	ACVR1B	839	842	1051	662
ACVR1C_TSS1_-257_g1	ACVR1C	347	537	337	353
ACVR1C_TSS1_-60_g2	ACVR1C	490	350	603	474
ACVR1C_TSS1_+16_g3	ACVR1C	269	345	380	441
ACVR1C_TSS1_+163_g4	ACVR1C	555	370	327	242
ACVR1C_TSS1_+407_g5	ACVR1C	496	404	259	374
ACVR2A_TSS1_-252_g1	ACVR2A	780	510	764	1003
ACVR2A_TSS1_-64_g2	ACVR2A	1065	943	892	1009
ACVR2A_TSS1_+33_g3	ACVR2A	624	763	626	610
ACVR2A_TSS1_+167_g4	ACVR2A	803	840	1126	795
ACVR2A_TSS1_+430_g5	ACVR2A	664	792	881	1113
ACVR2B_TSS1_-251_g1	ACVR2B	271	361	237	232
ACVR2B_TSS1_-97_g2	ACVR2B	235	193	300	202
ACVR2B_TSS1_+19_g3	ACVR2B	171	246	166	115
ACVR2B_TSS1_+157_g4	ACVR2B	327	305	303	276
ACVR2B_TSS1_+419_g5	ACVR2B	278	198	286	273
ACVRL1_TSS1_-253_g1	ACVRL1	988	991	1136	896
ACVRL1_TSS1_-77_g2	ACVRL1	601	1112	1408	748
ACVRL1_TSS1_+13_g3	ACVRL1	1426	895	1230	915
ACVRL1_TSS1_+160_g4	ACVRL1	769	912	1416	1227
ACVRL1_TSS1_+420_g5	ACVRL1	1136	993	1267	803
ADAD1_TSS1_-254_g1	ADAD1	525	344	386	544
ADAD1_TSS1_-61_g2	ADAD1	321	362	361	323
ADAD1_TSS1_+23_g3	ADAD1	389	253	274	267
ADAD1_TSS1_+155_g4	ADAD1	382	401	347	247
ADAD1_TSS1_+423_g5	ADAD1	488	457	485	354
ADAM10_TSS1_-242_g1	ADAM10	188	163	254	213
ADAM10_TSS1_-66_g2	ADAM10	195	145	167	189
ADAM10_TSS1_+38_g3	ADAM10	184	203	184	199
ADAM10_TSS1_+132_g4	ADAM10	139	130	146	86
ADAM10_TSS1_+413_g5	ADAM10	242	212	212	203
ADAM12_TSS1_-270_g1	ADAM12	672	346	520	562
ADAM12_TSS1_-98_g2	ADAM12	477	680	564	511
ADAM12_TSS1_+16_g3	ADAM12	683	480	376	444
ADAM12_TSS1_+134_g4	ADAM12	621	516	324	302
ADAM12_TSS1_+426_g5	ADAM12	425	344	383	534
ADAMTS5_TSS1_-270_g1	ADAMTS5	209	242	226	207
ADAMTS5_TSS1_-81_g2	ADAMTS5	215	273	217	227
ADAMTS5_TSS1_+29_g3	ADAMTS5	175	181	246	211
ADAMTS5_TSS1_+160_g4	ADAMTS5	322	199	262	134
ADAMTS5_TSS1_+405_g5	ADAMTS5	246	520	421	240
ADAP1_TSS1_-248_g1	ADAP1	586	496	295	435
ADAP1_TSS1_-67_g2	ADAP1	482	714	410	709
ADAP1_TSS1_+22_g3	ADAP1	505	557	494	369
ADAP1_TSS1_+163_g4	ADAP1	625	742	518	384
ADAP1_TSS1_+414_g5	ADAP1	563	438	431	452
ADAR_TSS1_-252_g1	ADAR	240	279	169	292
ADAR_TSS1_-83_g2	ADAR	349	431	290	306
ADAR_TSS1_+10_g3	ADAR	199	253	270	163
ADAR_TSS1_+145_g4	ADAR	353	592	404	602
ADAR_TSS1_+409_g5	ADAR	370	352	457	597
ADARB1_TSS1_-242_g1	ADARB1	815	964	729	1054
ADARB1_TSS1_-90_g2	ADARB1	682	1238	760	972
ADARB1_TSS1_+24_g3	ADARB1	503	809	940	729
ADARB1_TSS1_+142_g4	ADARB1	1418	963	1000	898
ADARB1_TSS1_+424_g5	ADARB1	574	647	681	870
ADARB2_TSS1_-270_g1	ADARB2	283	299	590	449
ADARB2_TSS1_-93_g2	ADARB2	379	363	294	375
ADARB2_TSS1_+25_g3	ADARB2	226	197	318	314
ADARB2_TSS1_+138_g4	ADARB2	283	257	436	163
ADARB2_TSS1_+430_g5	ADARB2	427	380	384	576
ADCK1_TSS1_-256_g1	ADCK1	525	865	606	554
ADCK1_TSS1_-61_g2	ADCK1	523	373	521	417
ADCK1_TSS1_+23_g3	ADCK1	443	591	494	426
ADCK1_TSS1_+158_g4	ADCK1	587	764	664	577
ADCK1_TSS1_+413_g5	ADCK1	750	688	463	563
ADCK2_TSS1_-233_g1	ADCK2	632	806	554	673
ADCK2_TSS1_-77_g2	ADCK2	533	884	839	734
ADCK2_TSS1_+45_g3	ADCK2	603	464	923	756
ADCK2_TSS1_+151_g4	ADCK2	682	875	582	748
ADCK2_TSS1_+429_g5	ADCK2	727	627	769	682
ADCK3_TSS1_-268_g1	ADCK3	809	667	673	755
ADCK3_TSS1_-95_g2	ADCK3	703	672	580	452
ADCK3_TSS1_+22_g3	ADCK3	613	598	799	405
ADCK3_TSS1_+142_g4	ADCK3	1005	1042	575	626
ADCK3_TSS1_+438_g5	ADCK3	610	782	765	625
ADCK4_TSS1_-240_g1	ADCK4	232	341	255	251
ADCK4_TSS1_-83_g2	ADCK4	367	350	346	332
ADCK4_TSS1_+40_g3	ADCK4	228	370	370	302
ADCK4_TSS1_+133_g4	ADCK4	265	224	346	263
ADCK4_TSS1_+406_g5	ADCK4	309	348	345	409
ADCK5_TSS1_-242_g1	ADCK5	316	268	216	334
ADCK5_TSS1_-86_g2	ADCK5	245	216	337	254
ADCK5_TSS1_+34_g3	ADCK5	106	241	167	241
ADCK5_TSS1_+166_g4	ADCK5	173	178	229	164
ADCK5_TSS1_+428_g5	ADCK5	127	171	195	261
ADCY1_TSS1_-248_g1	ADCY1	593	590	631	581
ADCY1_TSS1_-98_g2	ADCY1	394	374	816	472
ADCY1_TSS1_+14_g3	ADCY1	450	436	601	512
ADCY1_TSS1_+159_g4	ADCY1	628	804	903	868
ADCY1_TSS1_+400_g5	ADCY1	298	324	299	306
ADD1_TSS1_-240_g1	ADD1	362	270	451	411
ADD1_TSS1_-90_g2	ADD1	372	552	471	491
ADD1_TSS1_+17_g3	ADD1	518	351	472	552
ADD1_TSS1_+156_g4	ADD1	596	498	439	421
ADD1_TSS1_+418_g5	ADD1	615	477	404	299
ADD3_TSS1_-255_g1	ADD3	403	486	544	446
ADD3_TSS1_-89_g2	ADD3	466	516	368	422
ADD3_TSS1_+28_g3	ADD3	1013	622	650	584
ADD3_TSS1_+149_g4	ADD3	557	590	664	445
ADD3_TSS1_+400_g5	ADD3	398	418	480	323
ADH5_TSS1_-244_g1	ADH5	1234	1085	402	869
ADH5_TSS1_-81_g2	ADH5	722	879	1046	749
ADH5_TSS1_+43_g3	ADH5	852	659	915	1239
ADH5_TSS1_+135_g4	ADH5	1063	884	485	817
ADH5_TSS1_+416_g5	ADH5	885	845	901	923
ADH7_TSS1_-235_g1	ADH7	703	596	931	524
ADH7_TSS1_-60_g2	ADH7	991	853	1372	677
ADH7_TSS1_+12_g3	ADH7	809	1377	644	1064
ADH7_TSS1_+159_g4	ADH7	686	818	732	861
ADH7_TSS1_+401_g5	ADH7	1051	1038	904	924
ADI1_TSS1_-270_g1	ADI1	640	796	866	664
ADI1_TSS1_-63_g2	ADI1	654	904	516	757
ADI1_TSS1_+41_g3	ADI1	492	757	570	673
ADI1_TSS1_+156_g4	ADI1	769	699	692	571
ADI1_TSS1_+426_g5	ADI1	449	710	288	413
ADIRF_TSS1_-240_g1	ADIRF	818	563	812	895
ADIRF_TSS1_-91_g2	ADIRF	754	800	1272	692
ADIRF_TSS1_+25_g3	ADIRF	959	761	484	580
ADIRF_TSS1_+138_g4	ADIRF	1047	882	496	840
ADIRF_TSS1_+420_g5	ADIRF	1158	882	1295	1238
ADK_TSS1_-270_g1	ADK	550	850	580	534
ADK_TSS1_-78_g2	ADK	711	602	737	594
ADK_TSS1_+22_g3	ADK	768	1123	590	831
ADK_TSS1_+132_g4	ADK	599	524	525	761
ADK_TSS1_+400_g5	ADK	667	569	390	665
ADNP_TSS1_-258_g1	ADNP	331	362	369	210
ADNP_TSS1_-93_g2	ADNP	342	429	434	239
ADNP_TSS1_+41_g3	ADNP	370	233	246	207
ADNP_TSS1_+156_g4	ADNP	359	215	396	233
ADNP_TSS1_+424_g5	ADNP	242	335	232	201
ADNP2_TSS1_-246_g1	ADNP2	389	383	274	288
ADNP2_TSS1_-90_g2	ADNP2	238	296	269	148
ADNP2_TSS1_+10_g3	ADNP2	323	363	351	283
ADNP2_TSS1_+154_g4	ADNP2	350	301	253	235
ADNP2_TSS1_+424_g5	ADNP2	353	306	263	233
ADPRHL2_TSS1_-263_g1	ADPRHL2	400	436	505	430
ADPRHL2_TSS1_-80_g2	ADPRHL2	552	675	735	529
ADPRHL2_TSS1_+24_g3	ADPRHL2	696	507	376	373
ADPRHL2_TSS1_+139_g4	ADPRHL2	270	338	603	463
ADPRHL2_TSS1_+439_g5	ADPRHL2	511	448	405	408
ADRA1A_TSS1_-255_g1	ADRA1A	576	529	608	356
ADRA1A_TSS1_-82_g2	ADRA1A	878	695	1048	1036
ADRA1A_TSS1_+30_g3	ADRA1A	580	556	516	479
ADRA1A_TSS1_+142_g4	ADRA1A	722	868	854	887
ADRA1A_TSS1_+419_g5	ADRA1A	770	560	850	771
ADRA1B_TSS1_-258_g1	ADRA1B	149	211	171	110
ADRA1B_TSS1_-97_g2	ADRA1B	327	169	326	253
ADRA1B_TSS1_+26_g3	ADRA1B	175	180	222	317
ADRA1B_TSS1_+165_g4	ADRA1B	276	294	269	177
ADRA1B_TSS1_+438_g5	ADRA1B	301	251	434	388
ADRB1_TSS1_-252_g1	ADRB1	705	660	691	595
ADRB1_TSS1_-76_g2	ADRB1	824	736	841	598
ADRB1_TSS1_+24_g3	ADRB1	787	719	822	925
ADRB1_TSS1_+137_g4	ADRB1	581	432	578	783
ADRB1_TSS1_+434_g5	ADRB1	1006	698	879	714
ADRB2_TSS1_-230_g1	ADRB2	151	108	208	200
ADRB2_TSS1_-85_g2	ADRB2	108	148	181	193
ADRB2_TSS1_+16_g3	ADRB2	249	205	249	182
ADRB2_TSS1_+131_g4	ADRB2	232	148	143	96
ADRB2_TSS1_+417_g5	ADRB2	124	204	124	190
ADRB3_TSS1_-255_g1	ADRB3	550	636	596	727
ADRB3_TSS1_-60_g2	ADRB3	554	511	968	674
ADRB3_TSS1_+9_g3	ADRB3	714	447	575	760
ADRB3_TSS1_+139_g4	ADRB3	447	424	576	585
ADRB3_TSS1_+435_g5	ADRB3	922	533	598	695
ADRBK1_TSS1_-230_g1	ADRBK1	1363	676	454	1154
ADRBK1_TSS1_-81_g2	ADRBK1	1167	1353	877	890
ADRBK1_TSS1_+34_g3	ADRBK1	1331	874	967	1156
ADRBK1_TSS1_+160_g4	ADRBK1	651	540	881	886
ADRBK1_TSS1_+430_g5	ADRBK1	838	1074	908	1521
ADRBK2_TSS1_-245_g1	ADRBK2	984	1136	1108	630
ADRBK2_TSS1_-71_g2	ADRBK2	751	648	792	756
ADRBK2_TSS1_+8_g3	ADRBK2	868	844	784	766
ADRBK2_TSS1_+161_g4	ADRBK2	1067	985	1032	716
ADRBK2_TSS1_+400_g5	ADRBK2	914	697	683	552
ADRM1_TSS1_-270_g1	ADRM1	505	831	585	534
ADRM1_TSS1_-92_g2	ADRM1	587	614	609	546
ADRM1_TSS1_+33_g3	ADRM1	791	512	697	1174
ADRM1_TSS1_+158_g4	ADRM1	387	531	641	337
ADRM1_TSS1_+406_g5	ADRM1	399	540	561	421
AEBP1_TSS1_-238_g1	AEBP1	451	454	550	757
AEBP1_TSS1_-62_g2	AEBP1	382	508	505	487
AEBP1_TSS1_+5_g3	AEBP1	560	465	344	435
AEBP1_TSS1_+158_g4	AEBP1	303	380	384	260
AEBP1_TSS1_+425_g5	AEBP1	376	369	493	436
AEBP2_TSS1_-247_g1	AEBP2	351	220	258	354
AEBP2_TSS1_-91_g2	AEBP2	220	169	218	226
AEBP2_TSS1_+45_g3	AEBP2	340	282	351	270
AEBP2_TSS1_+140_g4	AEBP2	368	151	165	211
AEBP2_TSS1_+410_g5	AEBP2	282	252	233	237
AEN_TSS1_-238_g1	AEN	1267	1532	818	811
AEN_TSS1_-62_g2	AEN	1103	1017	1193	1253
AEN_TSS1_+11_g3	AEN	784	750	828	749
AEN_TSS1_+166_g4	AEN	684	582	459	701
AEN_TSS1_+422_g5	AEN	746	787	680	520
AES_TSS1_-259_g1	AES	667	753	732	611
AES_TSS1_-70_g2	AES	657	752	989	671
AES_TSS1_+28_g3	AES	475	827	782	803
AES_TSS1_+166_g4	AES	552	607	570	557
AES_TSS1_+434_g5	AES	1893	1387	1357	1330
AFAP1L2_TSS1_-260_g1	AFAP1L2	399	439	360	362
AFAP1L2_TSS1_-94_g2	AFAP1L2	416	244	244	299
AFAP1L2_TSS1_+19_g3	AFAP1L2	416	300	310	431
AFAP1L2_TSS1_+160_g4	AFAP1L2	400	481	359	556
AFAP1L2_TSS1_+414_g5	AFAP1L2	591	619	406	324
AFF1_TSS1_-231_g1	AFF1	326	265	403	165
AFF1_TSS1_-100_g2	AFF1	431	443	778	411
AFF1_TSS1_+37_g3	AFF1	485	357	645	466
AFF1_TSS1_+149_g4	AFF1	351	287	564	231
AFF1_TSS1_+422_g5	AFF1	360	367	363	265
AFF2_TSS1_-245_g1	AFF2	582	412	538	453
AFF2_TSS1_-72_g2	AFF2	493	463	595	420
AFF2_TSS1_+39_g3	AFF2	764	882	563	992
AFF2_TSS1_+160_g4	AFF2	522	704	624	266
AFF2_TSS1_+403_g5	AFF2	562	387	609	680
AFF3_TSS1_-267_g1	AFF3	868	1031	715	474
AFF3_TSS1_-90_g2	AFF3	831	745	911	670
AFF3_TSS1_+29_g3	AFF3	1069	1281	1076	1004
AFF3_TSS1_+145_g4	AFF3	619	451	519	385
AFF3_TSS1_+434_g5	AFF3	1020	1033	781	1119
AFF4_TSS1_-258_g1	AFF4	696	447	882	867
AFF4_TSS1_-76_g2	AFF4	640	685	634	497
AFF4_TSS1_+22_g3	AFF4	666	561	771	651
AFF4_TSS1_+142_g4	AFF4	747	559	709	641
AFF4_TSS1_+427_g5	AFF4	509	466	666	680
AFMID_TSS1_-251_g1	AFMID	244	229	275	303
AFMID_TSS1_-65_g2	AFMID	310	344	393	487
AFMID_TSS1_+34_g3	AFMID	367	446	281	223
AFMID_TSS1_+141_g4	AFMID	295	296	233	345
AFMID_TSS1_+404_g5	AFMID	334	309	365	387
AFTPH_TSS1_-238_g1	AFTPH	394	408	375	367
AFTPH_TSS1_-77_g2	AFTPH	380	488	225	415
AFTPH_TSS1_+39_g3	AFTPH	459	381	234	314
AFTPH_TSS1_+157_g4	AFTPH	428	438	429	294
AFTPH_TSS1_+425_g5	AFTPH	222	295	212	302
AGAP2_TSS1_-268_g1	AGAP2	370	214	366	533
AGAP2_TSS1_-93_g2	AGAP2	438	531	625	499
AGAP2_TSS1_+18_g3	AGAP2	336	337	376	386
AGAP2_TSS1_+169_g4	AGAP2	490	494	299	472
AGAP2_TSS1_+418_g5	AGAP2	390	393	299	328
AGAP3_TSS1_-254_g1	AGAP3	611	614	667	422
AGAP3_TSS1_-85_g2	AGAP3	879	504	524	650
AGAP3_TSS1_+40_g3	AGAP3	509	829	1031	574
AGAP3_TSS1_+160_g4	AGAP3	481	580	466	812
AGAP3_TSS1_+404_g5	AGAP3	686	650	826	726
AGBL5_TSS1_-231_g1	AGBL5	368	421	214	398
AGBL5_TSS1_-83_g2	AGBL5	279	184	227	205
AGBL5_TSS1_+23_g3	AGBL5	404	263	256	276
AGBL5_TSS1_+169_g4	AGBL5	318	546	462	339
AGBL5_TSS1_+430_g5	AGBL5	440	239	276	469
