sgRNA	Gene	DMSO_rep1	DMSO_rep2	Drug_rep1	Drug_rep2
ABI1_TSS1_-226_g2	ABI1	933	733	1013	957
ABI1_TSS1_-137_g3	ABI1	819	614	479	639
ABI1_TSS1_+61_g4	ABI1	680	604	886	739
ABI1_TSS1_+194_g5	ABI1	522	730	722	952
ABL1_TSS1_-334_g1	ABL1	177	252	150	206
ABL1_TSS1_-225_g2	ABL1	343	223	195	279
ABL1_TSS1_-95_g3	ABL1	185	206	259	194
ABL1_TSS1_+23_g4	ABL1	250	284	220	212
ABL1_TSS1_+196_g5	ABL1	251	233	311	239
ABL2_TSS1_-375_g1	ABL2	648	764	907	1034
ABL2_TSS1_-226_g2	ABL2	483	795	408	635
ABL2_TSS1_-117_g3	ABL2	672	841	562	868
ABL2_TSS1_+17_g4	ABL2	627	419	582	701
ABL2_TSS1_+193_g5	ABL2	973	442	760	1081
ABLIM2_TSS1_-343_g1	ABLIM2	637	412	630	440
ABLIM2_TSS1_-204_g2	ABLIM2	543	756	370	297
ABLIM2_TSS1_-131_g3	ABLIM2	606	479	455	668
ABLIM2_TSS1_+54_g4	ABLIM2	802	793	434	646
ABLIM2_TSS1_+165_g5	ABLIM2	466	585	602	370
ABT1_TSS1_-338_g1	ABT1	199	141	357	279
ABT1_TSS1_-226_g2	ABT1	416	474	282	335
ABT1_TSS1_-139_g3	ABT1	334	286	320	242
ABT1_TSS1_+61_g4	ABT1	496	546	381	360
ABT1_TSS1_+164_g5	ABT1	221	311	231	334
ABTB1_TSS1_-333_g1	ABTB1	623	1255	781	967
ABTB1_TSS1_-242_g2	ABTB1	622	749	514	677
ABTB1_TSS1_-113_g3	ABTB1	911	730	744	958
ABTB1_TSS1_+56_g4	ABTB1	512	604	785	744
ABTB1_TSS1_+167_g5	ABTB1	929	1041	964	897
ACAD11_TSS1_-334_g1	ACAD11	949	584	515	561
ACAD11_TSS1_-235_g2	ACAD11	301	393	317	434
ACAD11_TSS1_-135_g3	ACAD11	479	465	424	447
ACAD11_TSS1_+25_g4	ACAD11	378	416	488	663
ACAD11_TSS1_+185_g5	ACAD11	351	557	365	380
ACAD9_TSS1_-334_g1	ACAD9	597	794	792	642
ACAD9_TSS1_-211_g2	ACAD9	542	636	344	394
ACAD9_TSS1_-116_g3	ACAD9	838	760	590	513
ACAD9_TSS1_+39_g4	ACAD9	634	930	588	559
ACAD9_TSS1_+172_g5	ACAD9	1078	991	846	1195
ACAT2_TSS1_-375_g1	ACAT2	581	677	692	534
ACAT2_TSS1_-202_g2	ACAT2	680	753	503	729
ACAT2_TSS1_-97_g3	ACAT2	942	957	1051	894
ACAT2_TSS1_+21_g4	ACAT2	959	970	832	747
ACAT2_TSS1_+178_g5	ACAT2	721	783	805	726
ACBD6_TSS1_-343_g1	ACBD6	486	332	458	370
ACBD6_TSS1_-227_g2	ACBD6	505	543	529	625
ACBD6_TSS1_-99_g3	ACBD6	426	693	576	693
ACBD6_TSS1_+61_g4	ACBD6	564	708	669	738
ACBD6_TSS1_+168_g5	ACBD6	544	663	886	936
ACD_TSS1_-346_g1	ACD	317	464	182	254
ACD_TSS1_-226_g2	ACD	619	473	415	501
ACD_TSS1_-142_g3	ACD	321	349	463	258
ACD_TSS1_+30_g4	ACD	233	464	397	435
ACD_TSS1_+167_g5	ACD	615	880	377	652
ACHE_TSS1_-329_g1	ACHE	366	481	619	463
ACHE_TSS1_-210_g2	ACHE	477	424	322	569
ACHE_TSS1_-145_g3	ACHE	423	303	511	446
ACHE_TSS1_+44_g4	ACHE	384	452	243	447
ACHE_TSS1_+169_g5	ACHE	346	410	407	611
ACIN1_TSS1_-333_g1	ACIN1	321	224	166	240
ACIN1_TSS1_-200_g2	ACIN1	261	173	231	157
ACIN1_TSS1_-130_g3	ACIN1	180	312	153	278
ACIN1_TSS1_+42_g4	ACIN1	183	340	304	284
ACIN1_TSS1_+167_g5	ACIN1	230	198	203	166
ACLY_TSS1_-375_g1	ACLY	610	492	513	642
ACLY_TSS1_-203_g2	ACLY	436	451	776	546
ACLY_TSS1_-133_g3	ACLY	701	732	615	415
ACLY_TSS1_+44_g4	ACLY	1172	1114	1192	528
ACLY_TSS1_+171_g5	ACLY	1151	851	545	960
ACO2_TSS1_-334_g1	ACO2	96	97	115	184
ACO2_TSS1_-235_g2	ACO2	379	278	448	258
ACO2_TSS1_-144_g3	ACO2	168	232	234	159
ACO2_TSS1_+15_g4	ACO2	258	346	247	190
ACO2_TSS1_+173_g5	ACO2	205	376	235	400
ACP1_TSS1_-330_g1	ACP1	455	387	332	506
ACP1_TSS1_-222_g2	ACP1	715	428	360	471
ACP1_TSS1_-129_g3	ACP1	270	318	251	497
ACP1_TSS1_+57_g4	ACP1	452	440	597	409
ACP1_TSS1_+185_g5	ACP1	400	363	256	225
ACRC_TSS1_-331_g1	ACRC	193	235	440	707
ACRC_TSS1_-222_g2	ACRC	226	191	874	539
ACRC_TSS1_-143_g3	ACRC	237	141	367	446
ACRC_TSS1_+62_g4	ACRC	154	263	304	131
ACRC_TSS1_+182_g5	ACRC	175	304	355	278
ACSL6_TSS1_-354_g1	ACSL6	517	406	395	513
ACSL6_TSS1_-218_g2	ACSL6	484	690	619	509
ACSL6_TSS1_-118_g3	ACSL6	548	486	511	452
ACSL6_TSS1_+17_g4	ACSL6	194	365	359	255
ACSL6_TSS1_+170_g5	ACSL6	251	208	200	432
ACSS2_TSS1_-367_g1	ACSS2	1105	717	889	768
ACSS2_TSS1_-204_g2	ACSS2	712	509	592	645
ACSS2_TSS1_-124_g3	ACSS2	591	640	1037	1084
ACSS2_TSS1_+45_g4	ACSS2	731	825	448	712
ACSS2_TSS1_+201_g5	ACSS2	503	729	663	921
ACTL6A_TSS1_-327_g1	ACTL6A	156	218	210	152
ACTL6A_TSS1_-211_g2	ACTL6A	162	181	97	289
ACTL6A_TSS1_-129_g3	ACTL6A	225	123	293	187
ACTL6A_TSS1_+57_g4	ACTL6A	62	151	175	277
ACTL6A_TSS1_+161_g5	ACTL6A	270	153	194	185
ACTL6B_TSS1_-332_g1	ACTL6B	267	202	360	413
ACTL6B_TSS1_-213_g2	ACTL6B	322	355	387	273
ACTL6B_TSS1_-122_g3	ACTL6B	362	320	468	212
ACTL6B_TSS1_+27_g4	ACTL6B	392	342	197	521
ACTL6B_TSS1_+165_g5	ACTL6B	367	368	412	326
ACTL7A_TSS1_-348_g1	ACTL7A	502	306	525	536
ACTL7A_TSS1_-209_g2	ACTL7A	562	517	1154	594
ACTL7A_TSS1_-106_g3	ACTL7A	473	865	460	668
ACTL7A_TSS1_+52_g4	ACTL7A	709	640	613	595
ACTL7A_TSS1_+185_g5	ACTL7A	593	591	437	483
ACTN1_TSS1_-349_g1	ACTN1	275	138	249	215
ACTN1_TSS1_-242_g2	ACTN1	336	250	375	238
ACTN1_TSS1_-133_g3	ACTN1	198	293	231	222
ACTN1_TSS1_+15_g4	ACTN1	316	425	426	412
ACTN1_TSS1_+167_g5	ACTN1	230	250	251	235
ACTN4_TSS1_-358_g1	ACTN4	644	648	821	689
ACTN4_TSS1_-230_g2	ACTN4	533	621	448	588
ACTN4_TSS1_-105_g3	ACTN4	425	504	487	507
ACTN4_TSS1_+18_g4	ACTN4	404	693	582	421
ACTN4_TSS1_+202_g5	ACTN4	786	547	631	727
ACTR1A_TSS1_-331_g1	ACTR1A	368	285	334	433
ACTR1A_TSS1_-216_g2	ACTR1A	274	273	277	222
ACTR1A_TSS1_-144_g3	ACTR1A	190	230	225	216
ACTR1A_TSS1_+26_g4	ACTR1A	221	300	318	386
ACTR1A_TSS1_+193_g5	ACTR1A	190	262	424	275
ACTR3_TSS1_-356_g1	ACTR3	430	1112	767	677
ACTR3_TSS1_-234_g2	ACTR3	506	608	465	465
ACTR3_TSS1_-104_g3	ACTR3	612	768	756	852
ACTR3_TSS1_+53_g4	ACTR3	760	913	821	516
ACTR3_TSS1_+190_g5	ACTR3	940	583	492	547
ACTR5_TSS1_-333_g1	ACTR5	314	294	197	224
ACTR5_TSS1_-245_g2	ACTR5	237	261	209	230
ACTR5_TSS1_-98_g3	ACTR5	268	276	207	372
ACTR5_TSS1_+16_g4	ACTR5	298	133	299	264
ACTR5_TSS1_+205_g5	ACTR5	167	266	181	262
ACTR8_TSS1_-336_g1	ACTR8	257	273	219	207
ACTR8_TSS1_-209_g2	ACTR8	142	221	148	190
ACTR8_TSS1_-109_g3	ACTR8	172	279	170	115
ACTR8_TSS1_+50_g4	ACTR8	79	213	182	165
ACTR8_TSS1_+169_g5	ACTR8	117	185	141	127
ACTRT3_TSS1_-375_g1	ACTRT3	256	341	271	253
ACTRT3_TSS1_-212_g2	ACTRT3	493	296	270	456
ACTRT3_TSS1_-104_g3	ACTRT3	254	337	247	318
ACTRT3_TSS1_+40_g4	ACTRT3	294	340	326	287
ACTRT3_TSS1_+191_g5	ACTRT3	533	311	542	554
ACVR1_TSS1_-335_g1	ACVR1	812	739	1023	881
ACVR1_TSS1_-226_g2	ACVR1	303	364	252	355
ACVR1_TSS1_-142_g3	ACVR1	627	413	411	562
ACVR1_TSS1_+25_g4	ACVR1	509	608	457	601
ACVR1_TSS1_+192_g5	ACVR1	619	478	549	1026
ACVR1B_TSS1_-364_g1	ACVR1B	193	191	170	190
ACVR1B_TSS1_-241_g2	ACVR1B	131	86	160	117
ACVR1B_TSS1_-136_g3	ACVR1B	144	160	201	220
ACVR1B_TSS1_+21_g4	ACVR1B	145	98	98	78
ACVR1B_TSS1_+184_g5	ACVR1B	223	120	195	162
ACVR1C_TSS1_-374_g1	ACVR1C	155	258	420	503
ACVR1C_TSS1_-202_g2	ACVR1C	247	296	896	786
ACVR1C_TSS1_-142_g3	ACVR1C	287	282	752	635
ACVR1C_TSS1_+17_g4	ACVR1C	163	134	250	287
ACVR1C_TSS1_+171_g5	ACVR1C	203	204	236	286
ACVR2A_TSS1_-345_g1	ACVR2A	966	830	1063	919
ACVR2A_TSS1_-223_g2	ACVR2A	747	581	440	1060
ACVR2A_TSS1_-133_g3	ACVR2A	721	590	508	659
ACVR2A_TSS1_+51_g4	ACVR2A	349	417	508	354
ACVR2A_TSS1_+170_g5	ACVR2A	790	672	739	374
ACVR2B_TSS1_-337_g1	ACVR2B	484	300	383	388
ACVR2B_TSS1_-203_g2	ACVR2B	324	372	239	382
ACVR2B_TSS1_-133_g3	ACVR2B	354	251	214	242
ACVR2B_TSS1_+31_g4	ACVR2B	115	147	291	351
ACVR2B_TSS1_+162_g5	ACVR2B	158	192	132	228
ACVRL1_TSS1_-351_g1	ACVRL1	797	943	632	732
ACVRL1_TSS1_-205_g2	ACVRL1	409	831	543	506
ACVRL1_TSS1_-98_g3	ACVRL1	498	438	486	430
ACVRL1_TSS1_+23_g4	ACVRL1	455	604	627	610
ACVRL1_TSS1_+193_g5	ACVRL1	360	555	594	569
ADAD1_TSS1_-373_g1	ADAD1	546	725	688	476
ADAD1_TSS1_-245_g2	ADAD1	837	713	591	730
ADAD1_TSS1_-127_g3	ADAD1	564	278	843	493
ADAD1_TSS1_+24_g4	ADAD1	622	426	589	798
ADAD1_TSS1_+202_g5	ADAD1	872	1122	930	811
ADAM10_TSS1_-335_g1	ADAM10	248	266	331	248
ADAM10_TSS1_-201_g2	ADAM10	162	209	283	242
ADAM10_TSS1_-141_g3	ADAM10	213	294	281	245
ADAM10_TSS1_+38_g4	ADAM10	225	459	359	403
ADAM10_TSS1_+168_g5	ADAM10	370	259	275	373
ADAM12_TSS1_-356_g1	ADAM12	461	367	440	470
ADAM12_TSS1_-243_g2	ADAM12	369	434	643	766
ADAM12_TSS1_-132_g3	ADAM12	413	662	474	301
ADAM12_TSS1_+15_g4	ADAM12	321	545	569	262
ADAM12_TSS1_+162_g5	ADAM12	409	633	629	425
ADAMTS5_TSS1_-350_g1	ADAMTS5	469	407	437	422
ADAMTS5_TSS1_-220_g2	ADAMTS5	259	303	463	252
ADAMTS5_TSS1_-101_g3	ADAMTS5	362	437	527	402
ADAMTS5_TSS1_+33_g4	ADAMTS5	570	822	625	415
ADAMTS5_TSS1_+194_g5	ADAMTS5	543	270	546	379
ADAP1_TSS1_-328_g1	ADAP1	475	400	658	456
ADAP1_TSS1_-210_g2	ADAP1	503	353	436	453
ADAP1_TSS1_-113_g3	ADAP1	420	340	691	538
ADAP1_TSS1_+46_g4	ADAP1	278	368	490	545
ADAP1_TSS1_+172_g5	ADAP1	390	327	342	214
ADAR_TSS1_-362_g1	ADAR	554	426	544	485
ADAR_TSS1_-216_g2	ADAR	416	546	680	864
ADAR_TSS1_-126_g3	ADAR	487	396	384	687
ADAR_TSS1_+41_g4	ADAR	740	646	716	974
ADAR_TSS1_+176_g5	ADAR	279	417	424	398
ADARB1_TSS1_-359_g1	ADARB1	359	336	573	262
ADARB1_TSS1_-205_g2	ADARB1	231	286	431	336
ADARB1_TSS1_-127_g3	ADARB1	214	332	270	202
ADARB1_TSS1_+40_g4	ADARB1	351	259	559	281
ADARB1_TSS1_+166_g5	ADARB1	588	709	544	423
ADARB2_TSS1_-375_g1	ADARB2	412	286	356	322
ADARB2_TSS1_-217_g2	ADARB2	215	176	149	169
ADARB2_TSS1_-114_g3	ADARB2	385	380	439	417
ADARB2_TSS1_+18_g4	ADARB2	313	389	195	292
ADARB2_TSS1_+205_g5	ADARB2	220	304	274	187
ADCK1_TSS1_-338_g1	ADCK1	253	266	1771	1026
ADCK1_TSS1_-235_g2	ADCK1	297	238	957	945
ADCK1_TSS1_-128_g3	ADCK1	294	311	600	387
ADCK1_TSS1_+38_g4	ADCK1	311	274	373	203
ADCK1_TSS1_+165_g5	ADCK1	315	288	366	312
ADCK2_TSS1_-341_g1	ADCK2	426	682	751	804
ADCK2_TSS1_-228_g2	ADCK2	1073	755	587	1083
ADCK2_TSS1_-122_g3	ADCK2	937	1128	694	862
ADCK2_TSS1_+40_g4	ADCK2	449	825	804	712
ADCK2_TSS1_+202_g5	ADCK2	592	1141	738	784
ADCK3_TSS1_-331_g1	ADCK3	376	346	303	220
ADCK3_TSS1_-215_g2	ADCK3	220	279	235	359
ADCK3_TSS1_-102_g3	ADCK3	511	401	313	516
ADCK3_TSS1_+23_g4	ADCK3	182	352	234	162
ADCK3_TSS1_+204_g5	ADCK3	261	344	232	304
ADCK4_TSS1_-332_g1	ADCK4	765	433	634	1381
ADCK4_TSS1_-211_g2	ADCK4	691	847	2021	1438
ADCK4_TSS1_-96_g3	ADCK4	411	623	2621	1811
ADCK4_TSS1_+41_g4	ADCK4	636	908	774	725
ADCK4_TSS1_+165_g5	ADCK4	986	735	681	632
ADCK5_TSS1_-339_g1	ADCK5	423	391	273	343
ADCK5_TSS1_-217_g2	ADCK5	395	248	215	315
ADCK5_TSS1_-145_g3	ADCK5	313	411	198	357
ADCK5_TSS1_+48_g4	ADCK5	224	262	210	193
ADCK5_TSS1_+179_g5	ADCK5	366	411	281	253
ADCY1_TSS1_-359_g1	ADCY1	601	941	863	962
ADCY1_TSS1_-231_g2	ADCY1	771	534	666	650
ADCY1_TSS1_-130_g3	ADCY1	415	493	515	476
ADCY1_TSS1_+37_g4	ADCY1	690	764	727	599
ADCY1_TSS1_+182_g5	ADCY1	430	704	477	413
ADD1_TSS1_-362_g1	ADD1	893	547	811	900
ADD1_TSS1_-230_g2	ADD1	846	767	958	1167
ADD1_TSS1_-109_g3	ADD1	438	378	609	498
ADD1_TSS1_+28_g4	ADD1	659	576	362	883
ADD1_TSS1_+163_g5	ADD1	508	643	797	573
ADD3_TSS1_-349_g1	ADD3	494	499	527	488
ADD3_TSS1_-197_g2	ADD3	704	951	644	621
ADD3_TSS1_-131_g3	ADD3	659	432	521	342
ADD3_TSS1_+27_g4	ADD3	334	260	349	343
ADD3_TSS1_+181_g5	ADD3	305	322	432	305
ADH5_TSS1_-353_g1	ADH5	673	835	723	580
ADH5_TSS1_-233_g2	ADH5	371	791	1009	366
ADH5_TSS1_-140_g3	ADH5	733	896	638	952
ADH5_TSS1_+63_g4	ADH5	682	902	896	837
ADH5_TSS1_+161_g5	ADH5	1187	956	919	909
ADH7_TSS1_-357_g1	ADH7	152	169	190	165
ADH7_TSS1_-237_g2	ADH7	157	170	196	222
ADH7_TSS1_-142_g3	ADH7	242	249	360	154
ADH7_TSS1_+25_g4	ADH7	192	155	309	238
ADH7_TSS1_+195_g5	ADH7	135	135	145	201
ADI1_TSS1_-349_g1	ADI1	526	530	1003	899
ADI1_TSS1_-229_g2	ADI1	643	359	395	718
ADI1_TSS1_-137_g3	ADI1	481	438	656	850
ADI1_TSS1_+35_g4	ADI1	475	430	467	666
ADI1_TSS1_+178_g5	ADI1	325	384	570	623
ADIRF_TSS1_-347_g1	ADIRF	1170	1205	1426	1429
ADIRF_TSS1_-198_g2	ADIRF	1016	907	862	1017
ADIRF_TSS1_-113_g3	ADIRF	760	687	689	872
ADIRF_TSS1_+46_g4	ADIRF	489	873	842	714
ADIRF_TSS1_+171_g5	ADIRF	726	890	845	948
ADK_TSS1_-352_g1	ADK	1062	972	980	720
ADK_TSS1_-231_g2	ADK	648	1255	683	697
ADK_TSS1_-119_g3	ADK	807	740	812	1017
ADK_TSS1_+37_g4	ADK	731	857	904	405
ADK_TSS1_+169_g5	ADK	584	852	481	625
ADNP_TSS1_-350_g1	ADNP	596	643	1124	1399
ADNP_TSS1_-220_g2	ADNP	537	497	3372	2191
ADNP_TSS1_-135_g3	ADNP	362	493	1512	2290
ADNP_TSS1_+43_g4	ADNP	295	348	676	842
ADNP_TSS1_+186_g5	ADNP	884	694	512	1026
ADNP2_TSS1_-348_g1	ADNP2	919	848	1165	1381
ADNP2_TSS1_-221_g2	ADNP2	731	813	1248	862
ADNP2_TSS1_-101_g3	ADNP2	1039	577	865	587
ADNP2_TSS1_+39_g4	ADNP2	897	1035	651	658
ADNP2_TSS1_+165_g5	ADNP2	575	819	959	924
ADPRHL2_TSS1_-366_g1	ADPRHL2	284	450	617	267
ADPRHL2_TSS1_-197_g2	ADPRHL2	537	689	450	651
ADPRHL2_TSS1_-99_g3	ADPRHL2	788	599	677	825
ADPRHL2_TSS1_+19_g4	ADPRHL2	605	656	647	533
ADPRHL2_TSS1_+156_g5	ADPRHL2	832	527	613	430
ADRA1A_TSS1_-366_g1	ADRA1A	337	177	226	220
ADRA1A_TSS1_-235_g2	ADRA1A	361	414	228	393
ADRA1A_TSS1_-129_g3	ADRA1A	222	198	232	201
ADRA1A_TSS1_+63_g4	ADRA1A	272	269	217	216
ADRA1A_TSS1_+184_g5	ADRA1A	254	376	352	343
ADRA1B_TSS1_-333_g1	ADRA1B	590	724	791	836
ADRA1B_TSS1_-206_g2	ADRA1B	723	872	1031	815
ADRA1B_TSS1_-119_g3	ADRA1B	605	803	1219	1049
ADRA1B_TSS1_+23_g4	ADRA1B	716	510	1002	728
ADRA1B_TSS1_+173_g5	ADRA1B	684	541	590	348
ADRB1_TSS1_-374_g1	ADRB1	809	530	508	819
ADRB1_TSS1_-205_g2	ADRB1	570	348	592	326
ADRB1_TSS1_-97_g3	ADRB1	612	538	533	470
ADRB1_TSS1_+21_g4	ADRB1	706	462	482	654
ADRB1_TSS1_+182_g5	ADRB1	758	847	476	690
ADRB2_TSS1_-341_g1	ADRB2	371	285	325	325
ADRB2_TSS1_-210_g2	ADRB2	552	473	447	530
ADRB2_TSS1_-108_g3	ADRB2	311	525	488	515
ADRB2_TSS1_+65_g4	ADRB2	425	203	583	344
ADRB2_TSS1_+201_g5	ADRB2	682	672	587	597
ADRB3_TSS1_-368_g1	ADRB3	378	466	369	430
ADRB3_TSS1_-233_g2	ADRB3	608	729	1241	751
ADRB3_TSS1_-113_g3	ADRB3	790	826	550	628
ADRB3_TSS1_+19_g4	ADRB3	478	558	521	794
ADRB3_TSS1_+200_g5	ADRB3	601	303	468	487
ADRBK1_TSS1_-343_g1	ADRBK1	464	632	3056	1620
ADRBK1_TSS1_-241_g2	ADRBK1	531	474	1720	1316
ADRBK1_TSS1_-144_g3	ADRBK1	535	789	1681	1191
ADRBK1_TSS1_+47_g4	ADRBK1	362	462	791	635
ADRBK1_TSS1_+202_g5	ADRBK1	438	492	866	541
ADRBK2_TSS1_-332_g1	ADRBK2	1040	968	860	904
ADRBK2_TSS1_-245_g2	ADRBK2	640	549	741	632
ADRBK2_TSS1_-98_g3	ADRBK2	690	681	694	647
ADRBK2_TSS1_+48_g4	ADRBK2	1166	654	1027	1371
ADRBK2_TSS1_+167_g5	ADRBK2	961	976	707	969
ADRM1_TSS1_-348_g1	ADRM1	190	202	329	210
ADRM1_TSS1_-228_g2	ADRM1	167	137	157	210
ADRM1_TSS1_-113_g3	ADRM1	112	153	198	145
ADRM1_TSS1_+23_g4	ADRM1	191	165	207	307
ADRM1_TSS1_+155_g5	ADRM1	198	108	133	115
AEBP1_TSS1_-333_g1	AEBP1	250	197	265	253
AEBP1_TSS1_-242_g2	AEBP1	86	148	252	264
AEBP1_TSS1_-99_g3	AEBP1	118	197	165	237
AEBP1_TSS1_+15_g4	AEBP1	137	116	101	242
AEBP1_TSS1_+197_g5	AEBP1	239	212	177	137
AEBP2_TSS1_-333_g1	AEBP2	451	545	447	443
AEBP2_TSS1_-225_g2	AEBP2	638	427	375	345
AEBP2_TSS1_-99_g3	AEBP2	399	237	281	392
AEBP2_TSS1_+64_g4	AEBP2	701	492	214	432
AEBP2_TSS1_+167_g5	AEBP2	770	836	332	484
AEN_TSS1_-331_g1	AEN	1121	1097	764	504
AEN_TSS1_-243_g2	AEN	691	919	895	1291
AEN_TSS1_-119_g3	AEN	541	660	516	854
AEN_TSS1_+35_g4	AEN	803	543	842	1033
AEN_TSS1_+176_g5	AEN	470	361	448	503
AES_TSS1_-332_g1	AES	425	350	272	380
AES_TSS1_-233_g2	AES	426	274	271	362
AES_TSS1_-122_g3	AES	365	263	419	302
AES_TSS1_+15_g4	AES	438	272	433	514
AES_TSS1_+173_g5	AES	471	453	447	617
AFAP1L2_TSS1_-362_g1	AFAP1L2	752	543	597	432
AFAP1L2_TSS1_-229_g2	AFAP1L2	632	640	380	1185
AFAP1L2_TSS1_-105_g3	AFAP1L2	428	458	682	503
AFAP1L2_TSS1_+17_g4	AFAP1L2	711	352	372	556
AFAP1L2_TSS1_+163_g5	AFAP1L2	566	729	519	571
AFF1_TSS1_-350_g1	AFF1	643	558	475	586
AFF1_TSS1_-211_g2	AFF1	406	417	568	506
AFF1_TSS1_-121_g3	AFF1	678	507	718	620
AFF1_TSS1_+27_g4	AFF1	469	303	519	591
AFF1_TSS1_+176_g5	AFF1	314	431	573	716
AFF2_TSS1_-325_g1	AFF2	138	81	170	112
AFF2_TSS1_-230_g2	AFF2	116	128	114	171
AFF2_TSS1_-120_g3	AFF2	86	140	86	98
AFF2_TSS1_+15_g4	AFF2	194	174	109	164
AFF2_TSS1_+187_g5	AFF2	146	178	144	257
AFF3_TSS1_-366_g1	AFF3	553	649	621	528
AFF3_TSS1_-244_g2	AFF3	894	632	858	946
AFF3_TSS1_-104_g3	AFF3	423	563	888	397
AFF3_TSS1_+15_g4	AFF3	698	541	1159	1337
AFF3_TSS1_+189_g5	AFF3	954	828	839	485
AFF4_TSS1_-371_g1	AFF4	302	381	785	1178
AFF4_TSS1_-212_g2	AFF4	313	285	1283	872
AFF4_TSS1_-100_g3	AFF4	372	390	1238	1523
AFF4_TSS1_+41_g4	AFF4	198	462	312	402
AFF4_TSS1_+184_g5	AFF4	339	436	396	464
AFMID_TSS1_-371_g1	AFMID	189	181	82	158
AFMID_TSS1_-240_g2	AFMID	176	287	197	244
AFMID_TSS1_-139_g3	AFMID	189	195	109	156
AFMID_TSS1_+43_g4	AFMID	161	184	245	301
AFMID_TSS1_+175_g5	AFMID	313	159	268	330
AFTPH_TSS1_-339_g1	AFTPH	930	913	1002	1042
AFTPH_TSS1_-202_g2	AFTPH	1016	871	536	541
AFTPH_TSS1_-135_g3	AFTPH	400	692	403	917
AFTPH_TSS1_+44_g4	AFTPH	860	1026	663	1209
AFTPH_TSS1_+180_g5	AFTPH	1155	746	1196	881
AGAP2_TSS1_-354_g1	AGAP2	700	730	573	686
AGAP2_TSS1_-231_g2	AGAP2	712	812	1209	625
AGAP2_TSS1_-139_g3	AGAP2	544	654	760	438
AGAP2_TSS1_+54_g4	AGAP2	757	506	916	756
AGAP2_TSS1_+155_g5	AGAP2	492	659	447	600
AGAP3_TSS1_-355_g1	AGAP3	555	357	1516	1535
AGAP3_TSS1_-227_g2	AGAP3	350	371	1640	1629
AGAP3_TSS1_-116_g3	AGAP3	422	222	776	1415
AGAP3_TSS1_+57_g4	AGAP3	484	285	511	250
AGAP3_TSS1_+181_g5	AGAP3	601	304	288	348
AGBL5_TSS1_-349_g1	AGBL5	215	243	254	268
AGBL5_TSS1_-228_g2	AGBL5	92	155	113	94
AGBL5_TSS1_-129_g3	AGBL5	230	200	178	232
AGBL5_TSS1_+29_g4	AGBL5	230	183	237	220
AGBL5_TSS1_+168_g5	AGBL5	123	175	241	131
