sgRNA	Gene	T0_rep1	T0_rep2	DMSO_rep1	DMSO_rep2	Drug_rep1	Drug_rep2	DrugHi_rep1	DrugHi_rep2
AEN_sg1	AEN	148	165	210	199	221	239	135	173
AEN_sg2	AEN	252	203	149	364	173	170	147	123
AEN_sg3	AEN	356	367	203	294	374	256	261	174
AEN_sg4	AEN	468	358	350	277	240	291	348	342
AFF1_sg1	AFF1	1343	957	1162	1122	764	970	1191	1048
AFF1_sg2	AFF1	779	815	865	1133	1036	863	978	610
AFF1_sg3	AFF1	1502	972	1077	1157	1042	1203	1907	1096
AFF1_sg4	AFF1	1623	1801	1168	1281	1305	1398	1267	1449
AFF2_sg1	AFF2	705	433	440	750	1002	549	666	571
AFF2_sg2	AFF2	643	629	639	1060	743	616	611	730
AFF2_sg3	AFF2	633	497	523	460	403	430	333	392
AFF2_sg4	AFF2	922	648	690	809	705	1066	867	792
AFF3_sg1	AFF3	782	763	523	710	735	833	851	741
AFF3_sg2	AFF3	822	1144	970	1049	717	1186	1336	838
AFF3_sg3	AFF3	1170	912	897	725	591	772	853	540
AFF3_sg4	AFF3	1106	432	776	391	985	902	1194	770
AFF4_sg1	AFF4	950	870	419	863	743	843	688	547
AFF4_sg2	AFF4	1286	579	659	621	909	941	1200	682
AFF4_sg3	AFF4	641	729	479	680	665	581	722	418
AFF4_sg4	AFF4	1328	766	552	848	582	669	812	808
AGAP3_sg1	AGAP3	819	1071	551	627	1019	817	693	987
AGAP3_sg2	AGAP3	580	1036	1271	766	577	1118	959	958
AGAP3_sg3	AGAP3	741	849	554	1160	823	924	622	661
AGAP3_sg4	AGAP3	777	787	1025	1152	679	1107	901	1244
AGBL5_sg1	AGBL5	789	701	584	668	641	676	717	1105
AGBL5_sg2	AGBL5	620	659	819	709	928	561	758	579
AGBL5_sg3	AGBL5	538	458	760	619	646	499	427	528
AGBL5_sg4	AGBL5	691	737	572	652	614	787	441	624
AGPAT3_sg1	AGPAT3	1030	688	595	873	771	786	718	649
AGPAT3_sg2	AGPAT3	413	405	695	735	391	511	331	941
AGPAT3_sg3	AGPAT3	810	1032	1057	1060	719	636	908	961
AGPAT3_sg4	AGPAT3	645	568	755	565	514	983	904	609
AGTPBP1_sg1	AGTPBP1	369	288	392	369	397	347	467	388
AGTPBP1_sg2	AGTPBP1	632	508	676	373	577	904	606	419
AGTPBP1_sg3	AGTPBP1	760	669	542	439	685	623	603	672
AGTPBP1_sg4	AGTPBP1	699	500	668	457	657	682	355	682
AIFM3_sg1	AIFM3	1712	1072	1055	911	1078	1888	1278	1799
AIFM3_sg2	AIFM3	1047	1381	420	659	866	840	1177	1393
AIFM3_sg3	AIFM3	1082	709	686	856	984	829	1011	913
AIFM3_sg4	AIFM3	1234	1055	1236	1120	884	884	1208	667
AIP_sg1	AIP	670	591	657	343	500	698	394	410
AIP_sg2	AIP	702	549	462	562	437	664	525	662
AIP_sg3	AIP	354	344	477	453	384	412	488	414
AIP_sg4	AIP	572	549	556	361	546	430	701	621
AIRE_sg1	AIRE	685	1144	1509	1465	1296	793	1306	1099
AIRE_sg2	AIRE	1059	1341	968	842	1005	702	707	677
AIRE_sg3	AIRE	1075	1291	1050	1019	862	1019	1190	1286
AIRE_sg4	AIRE	1265	989	1358	752	668	789	982	732
AJUBA_sg1	AJUBA	373	365	211	292	438	356	212	236
AJUBA_sg2	AJUBA	335	346	584	446	235	133	244	337
AJUBA_sg3	AJUBA	238	227	315	231	306	228	344	194
AJUBA_sg4	AJUBA	474	410	486	535	538	430	430	487
AK1_sg1	AK1	856	893	1110	1188	1233	1101	1287	859
AK1_sg2	AK1	1065	728	1108	1070	1051	962	1061	870
AK1_sg3	AK1	1013	881	814	1071	984	1321	1347	1372
AK1_sg4	AK1	899	1041	1048	1271	904	1152	1327	1484
AKAP11_sg1	AKAP11	333	302	381	372	412	260	268	177
AKAP11_sg2	AKAP11	194	267	276	180	340	178	216	227
AKAP11_sg3	AKAP11	213	215	313	153	252	253	289	407
AKAP11_sg4	AKAP11	239	231	125	236	271	291	279	196
AKAP6_sg1	AKAP6	877	1339	802	1242	626	970	780	906
AKAP6_sg2	AKAP6	1468	1539	981	1517	853	1403	1223	953
AKAP6_sg3	AKAP6	1019	850	917	806	1165	1776	1428	812
AKAP6_sg4	AKAP6	1090	837	1271	757	1669	993	1075	747
AKAP8_sg1	AKAP8	1355	944	974	834	1066	1302	1063	898
AKAP8_sg2	AKAP8	1161	950	1022	1080	1039	1604	1358	1323
AKAP8_sg3	AKAP8	1251	1294	1041	1585	1391	1496	1236	1041
AKAP8_sg4	AKAP8	2075	1661	2046	1776	1410	2356	2278	1823
AKIRIN2_sg1	AKIRIN2	690	724	452	508	405	889	513	799
AKIRIN2_sg2	AKIRIN2	756	587	741	470	423	605	737	624
AKIRIN2_sg3	AKIRIN2	506	489	449	366	285	647	365	720
AKIRIN2_sg4	AKIRIN2	432	483	405	383	553	680	553	560
AKR1C3_sg1	AKR1C3	780	1107	984	1043	1056	866	1369	1408
AKR1C3_sg2	AKR1C3	1110	1039	590	661	758	661	725	1059
AKR1C3_sg3	AKR1C3	962	816	780	1072	1347	1053	684	1193
AKR1C3_sg4	AKR1C3	1354	1049	1114	977	1027	735	716	943
AKT2_sg1	AKT2	541	408	354	403	287	293	321	319
AKT2_sg2	AKT2	458	415	464	821	548	485	417	793
AKT2_sg3	AKT2	476	328	505	367	439	330	360	415
AKT2_sg4	AKT2	310	440	328	375	851	514	482	440
ALDH1A2_sg1	ALDH1A2	444	322	378	493	519	393	343	631
ALDH1A2_sg2	ALDH1A2	332	472	525	588	472	380	471	296
ALDH1A2_sg3	ALDH1A2	417	487	392	407	556	359	406	542
ALDH1A2_sg4	ALDH1A2	518	508	311	687	545	444	735	441
ALDH1B1_sg1	ALDH1B1	521	404	628	648	712	585	901	540
ALDH1B1_sg2	ALDH1B1	483	779	431	546	772	547	600	950
ALDH1B1_sg3	ALDH1B1	330	436	328	529	477	615	501	725
ALDH1B1_sg4	ALDH1B1	679	531	353	525	1053	624	662	955
ALDH6A1_sg1	ALDH6A1	671	612	543	596	665	462	465	412
ALDH6A1_sg2	ALDH6A1	436	605	584	391	710	492	418	590
ALDH6A1_sg3	ALDH6A1	650	591	709	600	562	525	497	896
ALDH6A1_sg4	ALDH6A1	654	895	427	738	874	484	359	639
ALDH7A1_sg1	ALDH7A1	877	1058	980	1863	1139	641	819	1399
ALDH7A1_sg2	ALDH7A1	1134	1245	1551	1221	1228	1511	1506	1400
ALDH7A1_sg3	ALDH7A1	981	1504	982	1163	1553	1342	1043	955
ALDH7A1_sg4	ALDH7A1	1255	1365	1394	1521	874	979	1299	1036
ALG2_sg1	ALG2	243	355	318	348	403	319	308	307
ALG2_sg2	ALG2	276	453	404	332	337	386	303	532
ALG2_sg3	ALG2	382	513	237	511	479	469	307	345
ALG2_sg4	ALG2	343	351	281	401	489	382	448	333
ALKBH2_sg1	ALKBH2	691	603	458	403	645	307	314	405
ALKBH2_sg2	ALKBH2	532	600	534	404	322	670	456	407
ALKBH2_sg3	ALKBH2	697	537	543	621	614	526	733	697
ALKBH2_sg4	ALKBH2	476	451	582	401	776	569	664	546
ALKBH5_sg1	ALKBH5	401	293	220	351	333	372	299	289
ALKBH5_sg2	ALKBH5	281	254	193	361	195	258	469	379
ALKBH5_sg3	ALKBH5	406	384	404	258	267	310	360	384
ALKBH5_sg4	ALKBH5	364	332	285	439	342	321	356	318
ALMS1_sg1	ALMS1	333	158	303	204	212	357	200	260
ALMS1_sg2	ALMS1	278	225	423	339	251	313	314	214
ALMS1_sg3	ALMS1	281	324	185	208	183	375	216	207
ALMS1_sg4	ALMS1	295	258	177	229	238	291	338	363
ALOX5AP_sg1	ALOX5AP	1102	1137	806	619	1035	1373	1168	998
ALOX5AP_sg2	ALOX5AP	787	1010	854	1528	894	1367	605	1375
ALOX5AP_sg3	ALOX5AP	778	699	1042	908	565	955	993	531
ALOX5AP_sg4	ALOX5AP	1142	1274	421	988	933	804	956	977
ALPK1_sg1	ALPK1	667	633	733	640	507	714	822	1139
ALPK1_sg2	ALPK1	816	639	1041	1022	948	1265	1011	778
ALPK1_sg3	ALPK1	554	487	603	407	735	574	610	531
ALPK1_sg4	ALPK1	849	704	577	761	587	461	586	1199
ALX4_sg1	ALX4	524	1210	580	439	611	373	579	671
ALX4_sg2	ALX4	696	709	604	578	589	602	621	836
ALX4_sg3	ALX4	951	669	749	680	648	895	676	969
ALX4_sg4	ALX4	736	841	635	534	817	562	723	924
ALYREF_sg1	ALYREF	554	576	1118	530	607	780	850	422
ALYREF_sg2	ALYREF	777	725	806	1014	1140	781	586	514
ALYREF_sg3	ALYREF	944	913	771	766	731	662	628	704
ALYREF_sg4	ALYREF	756	587	884	786	725	1278	651	597
AMER1_sg1	AMER1	677	589	438	442	640	437	396	340
AMER1_sg2	AMER1	688	586	827	486	684	432	651	884
AMER1_sg3	AMER1	712	430	759	605	486	628	426	479
AMER1_sg4	AMER1	735	451	469	404	563	313	324	704
AMHR2_sg1	AMHR2	1159	990	1099	1009	900	1191	886	828
AMHR2_sg2	AMHR2	971	1168	1016	974	939	1107	959	1172
AMHR2_sg3	AMHR2	1112	1190	1369	1066	961	1575	1397	834
AMHR2_sg4	AMHR2	1866	1013	1218	1423	835	1288	1517	1240
AMOT_sg1	AMOT	681	742	655	745	876	606	470	764
AMOT_sg2	AMOT	679	670	594	874	727	899	1214	872
AMOT_sg3	AMOT	778	463	834	833	600	803	923	607
AMOT_sg4	AMOT	664	612	541	623	826	373	570	773
ANAPC2_sg1	ANAPC2	402	408	261	267	239	368	287	259
ANAPC2_sg2	ANAPC2	282	322	177	295	507	271	229	278
ANAPC2_sg3	ANAPC2	426	278	273	268	329	275	209	301
ANAPC2_sg4	ANAPC2	336	294	406	220	232	316	343	297
ANAPC5_sg1	ANAPC5	555	602	619	650	589	375	576	847
ANAPC5_sg2	ANAPC5	945	1192	782	1044	730	1042	605	854
ANAPC5_sg3	ANAPC5	750	879	379	666	625	564	648	763
ANAPC5_sg4	ANAPC5	1047	1179	657	1053	660	1274	765	771
ANAPC7_sg1	ANAPC7	736	703	704	735	641	1054	723	821
ANAPC7_sg2	ANAPC7	620	901	1277	1261	806	634	805	745
ANAPC7_sg3	ANAPC7	925	530	787	424	401	846	485	779
ANAPC7_sg4	ANAPC7	852	956	1284	1370	1245	625	994	1045
ANKHD1_sg1	ANKHD1	747	578	822	640	778	489	368	428
ANKHD1_sg2	ANKHD1	591	394	736	772	486	488	429	511
ANKHD1_sg3	ANKHD1	573	473	538	350	490	504	459	403
ANKHD1_sg4	ANKHD1	710	670	610	859	670	422	569	564
ANKK1_sg1	ANKK1	871	804	859	691	635	883	795	458
ANKK1_sg2	ANKK1	485	552	719	651	812	915	614	667
ANKK1_sg3	ANKK1	761	650	425	514	638	737	834	619
ANKK1_sg4	ANKK1	689	704	1052	1139	646	644	1079	939
ANKLE2_sg1	ANKLE2	792	733	1063	973	953	1321	920	651
ANKLE2_sg2	ANKLE2	792	1046	1238	969	1153	829	1225	891
ANKLE2_sg3	ANKLE2	905	612	807	855	838	977	603	872
ANKLE2_sg4	ANKLE2	826	994	571	1369	1236	1236	868	787
ANKRD30A_sg1	ANKRD30A	735	655	736	493	615	828	445	937
ANKRD30A_sg2	ANKRD30A	1084	584	703	664	1117	815	973	752
ANKRD30A_sg3	ANKRD30A	876	627	429	540	790	710	615	770
ANKRD30A_sg4	ANKRD30A	1190	960	1057	1044	744	890	881	1065
ANKRD32_sg1	ANKRD32	667	497	573	733	386	523	530	315
ANKRD32_sg2	ANKRD32	497	520	434	318	425	490	406	425
ANKRD32_sg3	ANKRD32	543	552	415	556	449	496	313	308
ANKRD32_sg4	ANKRD32	472	561	474	574	337	281	447	235
ANKRD42_sg1	ANKRD42	669	559	548	339	374	329	431	401
ANKRD42_sg2	ANKRD42	374	488	559	302	523	505	459	393
ANKRD42_sg3	ANKRD42	451	439	455	149	256	176	335	355
ANKRD42_sg4	ANKRD42	414	359	324	209	249	238	247	422
ANKS1A_sg1	ANKS1A	441	614	519	295	543	477	644	475
ANKS1A_sg2	ANKS1A	431	325	324	285	429	549	290	446
ANKS1A_sg3	ANKS1A	303	293	368	477	451	398	424	237
ANKS1A_sg4	ANKS1A	441	248	420	348	357	649	471	348
ANLN_sg1	ANLN	324	167	165	207	402	252	178	304
ANLN_sg2	ANLN	268	370	368	258	238	169	256	151
ANLN_sg3	ANLN	183	171	179	189	216	355	277	253
ANLN_sg4	ANLN	228	225	196	244	242	253	262	319
ANO2_sg1	ANO2	471	368	370	725	379	299	402	527
ANO2_sg2	ANO2	436	565	543	213	413	480	454	460
ANO2_sg3	ANO2	722	460	535	643	562	642	725	568
ANO2_sg4	ANO2	561	485	568	486	279	432	425	763
ANP32A_sg1	ANP32A	993	468	719	1099	720	1264	894	989
ANP32A_sg2	ANP32A	1181	1400	1044	1182	1173	1257	767	1411
ANP32A_sg3	ANP32A	1025	690	1095	1049	721	779	894	645
ANP32A_sg4	ANP32A	1146	1011	1189	691	1183	890	1288	901
ANP32E_sg1	ANP32E	930	1304	717	1012	800	611	771	772
ANP32E_sg2	ANP32E	851	846	877	1017	1028	864	1059	947
ANP32E_sg3	ANP32E	1334	1081	881	1576	1167	611	788	1024
ANP32E_sg4	ANP32E	668	667	481	938	626	597	637	607
ANXA1_sg1	ANXA1	257	474	512	513	588	452	485	477
ANXA1_sg2	ANXA1	279	258	445	516	328	275	266	379
ANXA1_sg3	ANXA1	319	435	389	247	426	374	473	329
ANXA1_sg4	ANXA1	268	368	239	305	426	274	414	225
ANXA11_sg1	ANXA11	839	1049	628	967	611	1526	1348	1134
ANXA11_sg2	ANXA11	1102	1081	857	1065	1781	943	1040	854
ANXA11_sg3	ANXA11	1104	1163	897	1049	724	1092	882	995
ANXA11_sg4	ANXA11	915	839	976	1061	1234	731	1277	1166
AP1AR_sg1	AP1AR	550	949	677	639	943	1200	926	1021
AP1AR_sg2	AP1AR	550	668	756	894	792	694	751	483
AP1AR_sg3	AP1AR	608	551	658	608	506	585	1004	725
AP1AR_sg4	AP1AR	805	1029	701	515	550	803	612	1047
AP5Z1_sg1	AP5Z1	572	927	683	700	787	574	560	401
AP5Z1_sg2	AP5Z1	387	522	396	337	536	482	553	464
AP5Z1_sg3	AP5Z1	628	578	395	777	518	504	730	700
AP5Z1_sg4	AP5Z1	552	606	328	559	398	425	569	504
APC_sg1	APC	1321	1452	725	1064	1227	1117	1001	689
APC_sg2	APC	919	1205	821	864	573	884	640	614
APC_sg3	APC	1082	932	982	921	810	556	756	1107
APC_sg4	APC	1061	948	1188	991	893	387	787	796
APEX1_sg1	APEX1	542	600	680	952	465	680	735	843
APEX1_sg2	APEX1	547	620	446	477	844	570	563	610
APEX1_sg3	APEX1	856	854	1063	677	773	535	617	780
APEX1_sg4	APEX1	730	629	795	1318	840	756	870	895
APEX2_sg1	APEX2	681	582	798	570	682	635	788	575
APEX2_sg2	APEX2	606	665	625	518	788	976	996	570
APEX2_sg3	APEX2	875	768	475	884	929	913	750	947
APEX2_sg4	APEX2	434	456	638	757	630	626	864	515
APOA1_sg1	APOA1	583	872	736	1071	1094	873	708	1052
APOA1_sg2	APOA1	808	735	592	924	938	674	1226	797
APOA1_sg3	APOA1	1374	1139	1261	691	561	544	757	645
APOA1_sg4	APOA1	670	990	1237	1238	708	1186	915	774
APOBEC3A_sg1	APOBEC3A	946	1306	1593	829	1193	1285	1196	1026
APOBEC3A_sg2	APOBEC3A	1264	1449	869	1760	1015	934	865	1561
APOBEC3A_sg3	APOBEC3A	1304	1531	1087	1312	1832	1819	1336	1057
APOBEC3A_sg4	APOBEC3A	1096	1136	874	1095	1331	924	1578	1133
APOBEC3B_sg1	APOBEC3B	301	366	517	477	321	285	353	364
APOBEC3B_sg2	APOBEC3B	287	273	321	310	427	465	463	447
APOBEC3B_sg3	APOBEC3B	445	407	408	384	564	390	512	495
APOBEC3B_sg4	APOBEC3B	307	484	425	332	414	449	404	374
APOBEC3C_sg1	APOBEC3C	846	903	893	1344	675	1012	867	718
APOBEC3C_sg2	APOBEC3C	1230	1200	1360	1109	665	895	670	817
APOBEC3C_sg3	APOBEC3C	769	1092	622	832	915	1072	713	600
APOBEC3C_sg4	APOBEC3C	1014	1238	1025	1639	1178	1035	969	1421
APOBEC3H_sg1	APOBEC3H	344	247	233	213	173	258	522	212
APOBEC3H_sg2	APOBEC3H	324	333	217	244	180	184	248	368
APOBEC3H_sg3	APOBEC3H	288	218	206	287	144	169	255	223
APOBEC3H_sg4	APOBEC3H	341	263	171	258	265	155	214	270
APPBP2_sg1	APPBP2	465	489	629	383	507	833	647	421
APPBP2_sg2	APPBP2	729	787	851	546	680	607	480	742
APPBP2_sg3	APPBP2	648	917	733	956	912	779	484	907
APPBP2_sg4	APPBP2	828	454	959	679	939	583	836	762
APPL1_sg1	APPL1	316	349	418	411	456	320	345	405
APPL1_sg2	APPL1	341	253	431	366	354	340	312	265
APPL1_sg3	APPL1	253	386	293	280	343	275	408	352
APPL1_sg4	APPL1	383	393	538	383	400	174	386	487
AR_sg1	AR	1096	1333	1244	1185	1266	1577	1562	1786
AR_sg2	AR	1364	1094	1608	1184	1288	1351	1786	1863
AR_sg3	AR	1211	1377	1313	1095	886	1156	1444	1501
AR_sg4	AR	1011	790	1119	1684	1092	1191	1563	1544
ARGFX_sg1	ARGFX	1315	805	1135	1466	950	1428	811	724
ARGFX_sg2	ARGFX	962	1649	1440	1254	915	767	839	980
ARGFX_sg3	ARGFX	620	622	1236	626	838	593	902	809
